Word,Frequency
prelude,12
robotic,567
exploration,105
Moon,75
planets,63
Also,87
returning,33
previous,87
seasons,33
Joseph,156
mcgee,9
whose,543
goombah,3
incurably,3
depressed,9
television,309
version,252
Hitchhikers,6
Guide,6
Galaxy,6
Richard,237
portrayal,15
milady,3
perfect,92
balance,78
ferocity,6
felicity,3
clear,198
fascination,36
people,1774
fringes,12
lot,372
look,498
maybe,99
prostitutes,21
carrying,51
guns,24
camera,294
totally,33
neutral,18
whoever,15
happens,114
gets,132
captured,51
truth,45
neutrality,6
actually,281
somewhat,72
theres,177
hidden,120
ideologies,9
within,219
captures,18
whos,48
street,60
daylight,6
hours,222
lets,81
say,747
whitecollar,24
workers,249
offices,81
somewhere,60
People,192
living,186
chance,150
With,438
dont,639
think,862
licentious,6
erotic,15
gaze,27
Theres,141
gives,126
respect,24
subject,129
photographed,15
fact,300
restores,12
feel,273
exploitative,6
photographer,33
taking,252
picture,147
Even,108
sentimental,24
images,198
couple,138
kissing,12
cheesy,18
cliche,12
somehow,60
spontaneously,9
certain,180
image,189
aura,18
store,90
highly,102
Diners,3
panel,42
soup,15
side,183
dishes,12
delivered,114
tables,39
special,195
express,36
conveyor,30
belts,9
kitchen,33
busily,3
rice,9
morsels,3
server,30
top,294
cuts,78
fish,33
shipped,12
central,78
plant,90
trained,63
slice,15
tuna,3
mackerel,3
accurately,18
gram,6
ibm,201
broad,57
vision,363
combining,21
analyzing,66
varied,27
sources,48
improve,134
partners,90
economics,69
policy,78
changes,150
coming,162
together,243
odds,27
making,522
venture,237
workable,15
reality,291
They,624
point,509
improvements,39
lowest,60
cloud,156
reward,9
keeping,87
patients,114
healthy,15
instead,210
feeforservice,6
model,267
treatments,12
procedures,69
mean,207
revenue,42
seem,261
mundane,33
comfort,51
investment,267
bankers,33
main,117
reason,180
snowy,9
resort,9
town,36
linger,12
presentations,24
schmooze,6
chalet,6
soirees,6
meet,123
clients,45
prospective,14
As,648
endurance,12
case,282
gallbladder,3
operation,111
threedimensional,39
helped,240
experience,299
telesurgery,3
almost,309
real,537
going,480
future,788
setups,3
force,117
feedback,39
allows,138
surgeon,21
distant,42
arms,318
encountering,6
delve,3
body,222
arm,588
surgery,87
site,318
thrusts,3
needle,12
denser,3
tissue,21
electronic,207
signals,126
tracking,48
instruments,117
movements,93
immediately,45
flash,18
back,609
handles,24
gripped,18
doctors,54
hands,150
allowing,84
exactly,144
degree,117
resistance,27
penetrating,12
PICTURE,3
brain,606
high,327
sophomore,20
military,192
assault,24
vehicle,195
Tiny,30
Tank,3
hero,66
Playstation,3
name,258
flagship,9
product,222
contractor,3
fictional,48
world,875
thought,359
good,603
public,534
relations,30
tactic,3
cute,75
approachable,9
sell,108
defense,57
program,993
American,500
More,156
1000,63
viruses,42
humans,888
animals,66
plants,30
fungi,3
bacteria,12
identified,48
using,732
deposit,12
dozen,84
pieces,90
DNA,45
compare,51
genetic,66
material,99
sample,36
unknown,15
virus,54
Robot,330
Frank,258
PG13,60
130,195
Jake,39
scarier,21
directed,213
script,66
Christopher,105
Ford,72
eagertoplease,9
story,633
near,204
elderly,108
gent,9
angela,33
voiced,48
Peter,186
Sarsgaard,12
awkwardly,15
managed,30
truths,27
old,396
age,195
Susan,54
abandon,30
stars,147
dares,93
careful,39
Musk,117
interview,108
MIT,320
If,691
guess,33
biggest,237
existential,42
threat,75
probably,267
added,198
He,1193
summon,12
demon,45
This,1044
mismatch,3
biological,108
rarely,21
discussed,81
popular,207
literature,57
researchers,627
field,666
often,380
admit,18
great,318
disparity,6
knowledge,282
acquisition,90
ways,321
teach,90
computers,1086
know,561
So,378
wish,45
Norman,24
taken,171
long,573
thorough,12
issue,159
hed,51
perhaps,239
Being,21
Analog,3
gone,81
full,186
tilt,6
Nicholas,24
Negropontes,6
wellknown,30
Digital,51
true,162
belief,24
When,593
hilton,21
joined,117
Plus,27
page,90
Knowledge,45
Graph,45
team,516
engineers,309
shot,99
pushing,69
new,2432
territory,24
betting,33
Googles,351
epicenter,9
breakthroughs,51
person,417
Herbert,39
Simon,96
shaped,33
agenda,24
social,309
sciences,75
second,294
brilliant,57
polymath,6
Nobel,48
laureate,12
pioneer,114
political,153
psychology,135
founding,66
enterprise,39
trying,399
turned,204
autobiography,6
thus,63
provides,111
window,72
onto,108
subjective,12
scientific,198
achievement,57
games,408
minutes,474
weeks,168
months,198
player,171
God,63
creating,215
landscapes,12
setting,57
invented,99
characters,273
motion,114
closer,111
writing,150
novel,300
Characters,12
Sims,24
based,615
take,786
life,873
shaking,9
fingers,21
forgot,6
give,309
lunch,21
dropping,18
exhaustion,3
send,138
bed,39
early,543
enough,375
unexpectedly,18
stopping,6
clean,63
toilet,24
openended,9
absorbing,24
artistic,33
aspirations,9
serious,99
music,339
composer,33
place,333
takes,261
relatively,75
sophisticated,171
face,240
recognizing,30
particular,192
big,582
jump,36
simply,201
Douglas,72
Thomas,168
associate,42
professor,455
communications,111
University,890
Southern,63
California,258
Of,105
course,488
driverless,54
car,459
market,384
since,534
thats,264
clearly,66
industry,462
buy,225
labs,75
pick,180
whichever,6
Grace,24
ponders,3
mysteries,21
revealed,30
Encyclopedia,9
Unexplained,3
sees,66
detective,33
lists,30
facts,30
notebook,6
idea,474
someday,69
someone,192
come,486
mystery,30
open,318
clues,42
Ordinary,3
fringed,6
codes,36
signs,45
disguises,9
Graces,6
eccentric,18
sitter,6
16yearold,6
genius,51
Edgar,24
suggests,111
everyone,96
ingenious,45
Uncle,12
Pete,27
fathers,18
twin,18
brother,54
plays,183
Science,300
children,330
shows,246
writers,72
easily,108
steps,93
role,219
playing,195
Anna,18
fluent,12
annie,3
secret,87
Like,153
selfrespecting,3
chariot,33
binary,27
visit,75
answers,123
factual,12
She,180
manufacture,12
conversation,123
syntactic,3
draw,93
database,66
dozens,48
interviews,36
bin,21
engine,159
tried,150
best,468
imbue,3
cohesive,3
view,192
logic,132
motive,6
Will,117
robots,2066
ever,289
acting,123
chops,9
compete,60
billing,6
anytime,15
Nonetheless,15
experimental,42
dramatics,3
finding,72
fertile,3
increasingly,180
actors,102
On,366
Super,27
Bowl,18
Motors,45
ran,75
showed,120
factory,126
nightmare,27
losing,42
job,300
mistake,54
spirits,6
sink,15
low,93
commits,3
suicide,42
After,339
critics,78
spot,120
callous,3
air,135
revised,3
suicidefree,3
appeared,102
Academy,54
Awards,18
Developed,18
Engelberger,15
Roscoe,24
undergo,6
testing,129
programming,237
hospital,108
went,234
expected,303
start,270
performing,69
six,162
delivering,33
meal,15
trays,3
retrieving,12
laboratory,195
samples,45
medical,177
files,30
Hospital,48
halls,15
learned,138
cluttered,15
tricky,12
mazes,6
bang,9
chairman,99
Transition,6
Research,249
unbury,21
drawing,96
board,246
enhancement,6
sensors,270
recent,360
technological,252
concerned,84
may,1017
permanently,9
displace,15
roboticize,3
warfare,27
Orwellian,6
surveillance,48
easier,90
disastrous,3
effects,96
Finally,24
collided,12
stage,156
manager,66
ending,21
journey,48
mischief,9
Having,18
stopped,60
pan,15
anchor,39
desk,57
turning,66
lens,15
farther,15
anchorwoman,3
Chung,12
lean,12
managing,39
frame,48
cutting,39
away,345
taped,15
report,165
Indeed,69
striking,42
veterans,78
envisioned,24
ago,443
naturallanguage,30
translation,60
starting,165
move,453
mainstream,51
era,102
Big,249
Hero,30
6,357
pig,114
145,60
bright,63
visually,57
sumptuous,39
computeranimated,24
feature,159
Walt,45
Disney,108
Studios,42
superhero,36
movie,540
Marvel,42
comic,114
rendered,45
wit,60
texture,27
associated,87
pilar,87
Set,57
geeky,30
14yearold,30
orphaned,21
boy,150
beautiful,99
bouncy,27
Scooby,21
dislike,33
posse,21
villain,39
tada,21
save,120
day,510
manhole,51
lanterns,12
lining,12
nighttime,12
parties,33
colors,27
red,186
yellow,45
blue,72
green,102
oversized,15
stuffed,21
ottomans,9
mimicked,21
beanbag,9
sit,54
laptops,12
perched,18
knees,30
Attendees,9
climb,39
tricycle,9
Street,1350
View,42
ride,45
photos,108
design,420
Android,57
shirts,27
vending,18
dispensed,15
primarycolored,9
juggling,18
balls,75
bought,153
swiping,21
cellphones,15
Advances,18
sensor,105
pilots,66
less,471
necessary,87
cockpit,18
Already,30
government,234
agencies,63
experimenting,30
replacing,33
copilot,12
cargo,87
planes,72
remote,135
operators,33
close,234
runner,15
Thierry,15
muggers,3
1995,48
couture,6
cyborg,15
suit,60
armored,21
bodysuit,6
made,960
chromeplated,3
fiberglass,9
plastic,135
panels,27
right,453
places,99
Another,111
finisher,9
anatomically,3
accurate,51
sterling,6
silver,66
bustier,9
McQueen,12
Givenchy,9
Haute,3
Couture,3
extends,21
waistline,3
jaw,6
erupts,3
roses,3
Frida,3
kilo,6
painting,69
Touch,3
Inside,18
singularityhubcomDamon,6
Darlin,12
says,636
wonder,75
Saturday,96
iPad,27
upgrade,15
rapid,93
hot,66
deep,243
touched,24
race,213
powerful,249
microdot,255
trumpeted,3
improved,69
performance,177
bowman,3
fine,81
cerulean,3
connect,42
Canis,3
Major,27
Minor,9
constellations,3
producing,21
two,1277
etchingandrelief,3
prints,12
retrievers,3
walking,123
night,279
sky,54
Roy,24
de,117
Forests,3
lithograph,3
mass,57
smudges,3
lurk,6
several,342
artists,96
malevolentlooking,3
hounds,3
match,99
flames,15
nearby,48
campfire,6
experts,258
bemused,3
intrigued,12
Writing,21
295page,3
patterned,9
pulpfiction,3
queen,36
strikes,24
delightfully,3
frivolous,3
commonly,21
highminded,3
pursuits,9
cure,12
cancer,71
BOULDER,3
cold,63
TWO,3
month,345
watching,75
inspect,27
TransAlaska,3
Pipeline,3
complicated,93
pipelines,3
endeavor,24
entailed,3
sending,78
fiveton,3
rustdetecting,3
800,9
miles,237
length,30
Alaska,18
spitball,3
straw,6
hunted,9
metal,111
loss,66
COMPUTER,9
FLAWS,6
GET,6
WRY,6
SMILE,6
FROM,21
HUMANS,9
DISPLACED,6
breakdown,9
froze,6
nasal,102
stock,177
three,696
investors,213
Wall,285
wrung,9
safer,39
allowed,117
bitter,15
laugh,30
forged,18
career,138
exchange,51
specialist,99
selling,99
shares,126
function,153
properly,42
profession,24
sharply,42
diminished,6
technologyNow,6
proving,12
source,135
error,60
rise,126
computerdriven,27
trading,111
number,321
problems,321
led,324
regulators,12
demand,108
tighter,12
safeguards,6
Last,207
Securities,39
Exchange,12
Commission,18
asked,189
nations,69
exchanges,6
introduce,90
kill,90
switches,15
mishaps,6
longtime,45
specialists,51
reflect,30
took,267
TECH,12
ipod,150
SET,12
TO,81
BEGIN,12
TRADING,12
Two,147
priced,63
initial,243
offerings,36
Thursday,165
evening,60
reflecting,24
investor,75
sector,45
revive,15
freeze,15
provider,12
cybersecurity,18
offering,297
20,510
share,264
beating,33
expectations,66
yearbooks,12
Michael,399
la,42
merged,39
reports,645
raised,189
price,165
range,213
15,300
17,156
increased,60
8,261
percent,378
1518,12
told,357
3036,12
valuing,30
23,105
billionRocket,12
Fuel,63
advertising,93
relies,69
raising,135
116,36
four,369
29,162
9425,18
THE,534
AGENDA,15
James,225
dullard,15
president,327
Reserve,33
Bank,81
Louis,33
bloomers,297
7,279
discussing,50
Feds,12
surprise,42
John,684
chief,429
executive,381
Rocket,48
cab,33
9,210
David,468
dealt,36
freezes,30
begin,159
todayINVESTORS,12
STILL,15
PUZZLING,12
OVER,18
FEDS,12
MOVE,12
dashed,15
widespread,54
assumption,33
slowing,21
bondbuying,12
furiously,18
revising,12
bank,135
economy,84
ahead,147
Nathaniel,18
Popper,12
yearbook,162
Many,162
pay,171
attention,213
statements,42
reconsider,12
barometer,12
predict,147
Fed,15
decisionsFrom,12
suggested,147
taper,12
Ken,63
tubes,27
officer,126
Pioneer,15
Investments,18
moral,123
Dont,42
saying,135
EUREKA,3
project,498
run,309
amok,24
stirs,9
panic,21
towns,18
Founders,21
Day,81
celebration,15
Meanwhile,45
residents,24
adjust,36
timeline,18
returns,69
law,138
enforcement,27
Haven,9
Audrey,3
Emily,21
Rose,27
delves,6
background,48
spies,15
newspaper,27
photograph,21
woman,207
Later,42
Nathan,54
Lucas,21
Bryant,9
investigate,60
epidemic,12
attacking,15
livestock,3
5,339
beat,165
Go,267
reputed,3
complex,324
threeandahalfhour,3
demonstration,72
sophistication,30
stunned,6
master,75
surprised,30
lose,48
question,309
remains,75
hotly,3
debated,12
Machines,102
increasing,87
past,342
halfdecade,3
narrow,45
humanlike,93
capabilities,90
understanding,207
chess,240
champion,132
Garry,33
Kasparov,54
faced,39
Deep,156
Blue,84
yesterday,114
pundits,12
calling,63
rematch,9
milestone,9
inexorable,3
advance,93
effort,279
create,570
mimic,81
Computers,123
smarter,102
supercomputer,48
designer,126
Danny,24
hills,59
asserted,9
Newsweek,3
essay,78
About,45
police,141
sent,180
unclear,27
yielded,12
233,6
silence,9
closed,60
entered,51
trailer,15
found,357
men,198
Although,144
expecting,18
tax,57
skill,42
accountant,6
combine,42
accountants,12
interviewing,6
client,15
forget,33
Balenciagas,6
Nicolas,39
Ghesqui,3
articulated,24
tailoring,6
metallic,18
leggings,9
bring,210
mind,315
Transformers,72
childrens,90
metamorphic,6
toys,177
taps,15
directly,81
technosexuality,6
online,404
robotfetishist,6
gleaming,12
skintight,6
latex,6
used,942
transformation,24
term,165
assuming,15
appearance,75
android,51
indeed,45
shari,6
following,249
participants,36
Then,216
demonstrates,18
cues,39
distrust,15
followed,155
conversational,30
gestures,39
veteran,36
Simpsons,6
King,48
Hill,18
Bird,18
responsible,33
Iron,39
Giant,15
poignant,9
variation,24
sensitive,33
theme,78
dazzling,27
attempts,27
filmmaker,45
strangeness,6
lucidity,3
anime,30
modernist,9
lines,132
incredible,18
suggest,69
attempt,93
flatness,6
dimensions,33
antic,3
Shrek,3
2,719
Shark,12
Tale,9
kinetic,15
productions,15
Monsters,15
Inc,228
Finding,6
Nemo,12
spare,54
precise,48
competing,60
Postal,9
Service,42
contract,39
harness,15
opticalscanning,6
post,51
tedious,24
costly,27
deciphering,6
handwritten,9
addresses,18
Long,54
Way,18
Checkmate,3
Dec,57
affecting,9
affect,77
consumer,162
appliances,36
hinted,3
lovely,33
windmills,3
Id,93
Sony,126
Panasonic,6
Electric,27
et,9
al,15
Why,222
walk,141
electronics,123
radio,72
presentable,6
similar,216
ver,18
Further,23
Questions,11
DiscussionWhat,3
languages,90
soccer,60
mentioned,66
article,326
semiautonomous,9
Brett,24
nader,15
stated,21
competition,180
disciplines,21
needed,165
demonstrations,27
robocop,12
2001,207
How,557
related,99
Germany,51
oct,3
done,221
ecstatic,6
turbocharged,3
applied,81
decisions,174
fairer,3
prone,12
whim,6
bias,15
goal,237
saving,24
money,237
lives,255
designed,525
Nancy,30
Winters,6
projected,51
Foreman,15
Seen,15
closeup,15
larger,102
twinned,3
baleful,15
Brothers,51
Repeatedly,3
offers,150
instruction,66
vaster,6
suggestion,39
President,138
turn,264
nothing,252
statement,102
theatrical,42
conundrum,6
meant,132
selfmocking,3
verges,6
selfincriminating,3
House,84
Games,30
SYMPHONY,3
OF,216
RATS,3
FlowerTelephone,3
Tornadoville,3
Ratcatcher,3
Paintings,3
Kate,9
mayhem,9
puppets,33
structural,18
lighting,33
production,255
Paula,12
Gordon,39
technical,153
director,507
Nelson,39
sound,165
mixer,9
Pierre,15
assistant,192
Johnson,117
coproduction,3
OntologicalHysteric,6
Theater,783
rooster,12
Group,123
At,500
33,120
PresidentRon,3
Presidential,3
Appointment,3
SecretaryPeyton,3
Representative,3
Unknown,3
OrganizationKate,3
talk,267
McAlisterJeff,3
Webster,6
ManifestationsRichard,3
Rat,3
CatchersJim,3
Finkelstein,9
Microprocessors,6
embedded,48
products,377
electric,69
razors,3
printing,45
presses,9
ballpoint,3
pens,6
passenger,18
Cisco,12
investments,78
analytic,12
automate,27
largescale,30
centers,123
billions,69
objects,222
tied,33
Monday,273
Robbins,18
announced,273
fancy,54
300000,15
industrial,168
factories,33
carry,162
preventive,6
maintenance,27
discos,6
maintains,9
everything,201
impractical,6
courts,9
decide,75
Gates,84
must,348
assert,9
Governments,15
equivalent,75
Coca,6
Cola,6
cans,30
Pepsi,9
sixpacks,3
monopoly,6
microbots,81
operating,210
recognized,12
behaving,12
struggling,66
upstart,48
awaits,6
accelerating,21
change,264
undreamed,3
commerce,41
Justice,117
attorneys,6
general,152
inventors,36
areas,243
consumers,75
stranglehold,3
underway,21
toward,237
branch,51
Machinelearning,12
vast,144
amounts,96
learns,75
goes,176
SPLITTERBOT,3
wished,9
favorite,90
without,420
tinny,6
speaker,21
Splitterbot,3
ThinkGeek,3
elegant,39
least,411
solution,54
little,492
figurine,3
inches,48
attached,78
keychain,3
Pop,6
millimeter,3
jack,9
plugs,12
phone,192
sets,105
headphones,12
plug,21
supports,9
output,57
try,267
conference,180
call,294
end,534
hear,126
Photo,129
Condor,6
highflying,9
airplane,30
revolutionize,27
atmospheric,9
fear,144
aircraft,69
scrapped,15
Defense,93
plane,54
Boeing,18
Aircraft,18
third,219
National,192
Aeronautics,48
Space,345
Administration,36
recovery,45
vessel,51
remotecontrolled,63
submersible,30
cameras,195
arrive,27
Florida,39
join,93
efforts,105
identify,125
shallow,12
water,195
unspecified,3
16,138
coast,18
Under,57
feathers,6
AM,18
station,231
obtained,18
rights,87
airtime,6
gar,12
Willow,66
Springs,3
owned,12
grandson,12
Bret,9
feathery,3
serves,36
transmitter,9
kept,78
Sunday,204
mornings,3
broadcasts,9
religious,30
Spaceviews,3
publication,18
space,648
photographs,39
Pathfinder,30
explorer,21
sojourn,12
launching,24
spacecraft,162
section,99
possibility,96
Mars,204
links,48
sites,141
maintained,6
Jet,63
Propulsion,33
Laboratory,120
mars,57
freshman,51
approached,18
dance,114
floor,204
whats,102
really,492
sad,33
rhythm,9
vapor,15
Kaplan,24
pod,90
features,213
became,210
Agenda,24
osborne,9
Carnegie,186
Mellon,162
therapists,18
autism,12
blinks,6
giggles,12
Those,60
tested,72
love,372
hugged,6
Age,78
patron,36
currently,135
published,203
Comics,15
Avengers,18
allies,18
ropes,6
archenemy,6
concludes,33
June,120
guest,42
star,147
angel,30
Angela,18
writer,126
Neil,48
caiman,6
artist,96
Todd,36
McFarlane,6
Spawn,6
Image,60
potential,302
molecular,51
February,54
2012,69
wuss,3
Biologically,6
Inspired,18
Engineering,48
Harvard,207
institute,36
device,342
intended,135
seek,45
specific,123
cells,39
deliver,96
anticancer,3
therapeutic,12
remarkable,44
precision,33
nanoscale,3
clamshell,6
reaches,51
target,72
releasing,33
molecule,6
Acquires,30
StartUp,84
Developing,36
Advanced,111
Phones,30
leaders,66
Pinto,30
Zak,30
Stone,57
established,57
specialize,39
imagerecognition,30
News,183
ethical,84
issues,153
simple,282
international,84
control,495
advocates,33
officials,159
agreements,12
limit,21
development,441
teleoperated,3
weapons,132
HAIR,3
implants,12
Yet,150
Houston,54
neurosurgeon,3
Philip,84
Gildenberg,9
hopes,120
baldness,3
invention,30
implant,9
hair,39
precisely,57
concern,84
lab,192
fabric,18
Soft,6
Apples,81
Siri,237
Amazon,96
recommendation,18
along,282
infrastructure,18
highspeed,30
algorithmic,12
vehicles,201
everyday,93
cities,54
